store_id,item_id,date,week,on_hand_qty,on_order_qty,inventory_status,woc
STR_E01,1200080994,2024-01-01,2024-W01,247.0,0.0,AVAILABLE,1.96
STR_E01,2840016014,2024-01-01,2024-W01,146.0,0.0,AVAILABLE,1.49
STR_E01,4900005010,2024-01-01,2024-W01,192.0,0.0,AVAILABLE,1.83
STR_E02,1200080994,2024-01-01,2024-W01,259.0,0.0,AVAILABLE,2.31
STR_E02,2840016014,2024-01-01,2024-W01,143.0,0.0,AVAILABLE,1.7
STR_E02,4900005010,2024-01-01,2024-W01,200.0,0.0,AVAILABLE,2.38
STR_W01,1200080994,2024-01-01,2024-W01,256.0,0.0,AVAILABLE,2.61
STR_W01,2840016014,2024-01-01,2024-W01,145.0,0.0,AVAILABLE,1.73
STR_W01,4900005010,2024-01-01,2024-W01,198.0,0.0,AVAILABLE,1.77
STR_E01,1200080994,2024-01-02,2024-W01,229.0,0.0,AVAILABLE,1.82
STR_E01,2840016014,2024-01-02,2024-W01,285.0,0.0,AVAILABLE,3.54
STR_E01,4900005010,2024-01-02,2024-W01,180.0,0.0,AVAILABLE,1.9
STR_E02,1200080994,2024-01-02,2024-W01,245.0,0.0,AVAILABLE,2.33
STR_E02,2840016014,2024-01-02,2024-W01,134.0,0.0,AVAILABLE,1.82
STR_E02,4900005010,2024-01-02,2024-W01,188.0,0.0,AVAILABLE,2.24
STR_W01,1200080994,2024-01-02,2024-W01,241.0,0.0,AVAILABLE,2.37
STR_W01,2840016014,2024-01-02,2024-W01,134.0,0.0,AVAILABLE,1.66
STR_W01,4900005010,2024-01-02,2024-W01,184.0,0.0,AVAILABLE,1.75
STR_E01,1200080994,2024-01-03,2024-W01,208.0,0.0,AVAILABLE,1.56
STR_E01,2840016014,2024-01-03,2024-W01,275.0,0.0,AVAILABLE,3.57
STR_E01,4900005010,2024-01-03,2024-W01,168.0,0.0,AVAILABLE,1.85
STR_E02,1200080994,2024-01-03,2024-W01,229.0,0.0,AVAILABLE,2.13
STR_E02,2840016014,2024-01-03,2024-W01,126.0,0.0,AVAILABLE,1.86
STR_E02,4900005010,2024-01-03,2024-W01,174.0,0.0,AVAILABLE,1.96
STR_W01,1200080994,2024-01-03,2024-W01,225.0,0.0,AVAILABLE,2.14
STR_W01,2840016014,2024-01-03,2024-W01,122.0,0.0,AVAILABLE,1.49
STR_W01,4900005010,2024-01-03,2024-W01,169.0,0.0,AVAILABLE,1.61
STR_E01,1200080994,2024-01-04,2024-W01,192.0,0.0,AVAILABLE,1.5
STR_E01,2840016014,2024-01-04,2024-W01,267.0,0.0,AVAILABLE,3.72
STR_E01,4900005010,2024-01-04,2024-W01,155.0,0.0,AVAILABLE,1.7
STR_E02,1200080994,2024-01-04,2024-W01,215.0,0.0,AVAILABLE,2.05
STR_E02,2840016014,2024-01-04,2024-W01,114.0,0.0,AVAILABLE,1.59
STR_E02,4900005010,2024-01-04,2024-W01,159.0,0.0,AVAILABLE,1.71
STR_W01,1200080994,2024-01-04,2024-W01,207.0,0.0,AVAILABLE,1.88
