so_number,store_id,dc_id,order_date,week,order_type
SO_20240101_STR_E01_0001,STR_E01,DC_EAST,2024-01-01,2024-W01,STANDARD
SO_20240101_STR_E02_0002,STR_E02,DC_EAST,2024-01-01,2024-W01,STANDARD
SO_20240101_STR_W01_0003,STR_W01,DC_WEST,2024-01-01,2024-W01,STANDARD
SO_20240115_STR_E01_0004,STR_E01,DC_EAST,2024-01-15,2024-W03,STANDARD
SO_20240115_STR_E02_0005,STR_E02,DC_EAST,2024-01-15,2024-W03,STANDARD
SO_20240115_STR_W01_0006,STR_W01,DC_WEST,2024-01-15,2024-W03,STANDARD
SO_20240129_STR_E01_0007,STR_E01,DC_EAST,2024-01-29,2024-W05,PROMO
SO_20240129_STR_E02_0008,STR_E02,DC_EAST,2024-01-29,2024-W05,PROMO
SO_20240129_STR_W01_0009,STR_W01,DC_WEST,2024-01-29,2024-W05,PROMO
SO_20240130_STR_E01_0010,STR_E01,DC_EAST,2024-01-30,2024-W05,EMERGENCY
SO_20240130_STR_E02_0011,STR_E02,DC_EAST,2024-01-30,2024-W05,EMERGENCY
SO_20240130_STR_E02_0012,STR_E02,DC_EAST,2024-01-30,2024-W05,EMERGENCY
SO_20240130_STR_W01_0013,STR_W01,DC_WEST,2024-01-30,2024-W05,EMERGENCY
SO_20240131_STR_E01_0014,STR_E01,DC_EAST,2024-01-31,2024-W05,EMERGENCY
SO_20240131_STR_E01_0015,STR_E01,DC_EAST,2024-01-31,2024-W05,EMERGENCY
SO_20240131_STR_E02_0016,STR_E02,DC_EAST,2024-01-31,2024-W05,EMERGENCY
SO_20240131_STR_E02_0017,STR_E02,DC_EAST,2024-01-31,2024-W05,EMERGENCY
SO_20240131_STR_W01_0018,STR_W01,DC_WEST,2024-01-31,2024-W05,EMERGENCY
SO_20240131_STR_W01_0019,STR_W01,DC_WEST,2024-01-31,2024-W05,EMERGENCY
SO_20240201_STR_E01_0020,STR_E01,DC_EAST,2024-02-01,2024-W05,EMERGENCY
