store_id,item_id,date,week,demand_qty,sales_qty,lost_sales_qty,sales_amount
STR_E01,1200080994,2024-01-01,2024-W01,18.0,18.0,0.0,143.82
STR_E01,2840016014,2024-01-01,2024-W01,14.0,14.0,0.0,69.86
STR_E01,4900005010,2024-01-01,2024-W01,15.0,15.0,0.0,29.85
STR_E02,1200080994,2024-01-01,2024-W01,16.0,16.0,0.0,127.84
STR_E02,2840016014,2024-01-01,2024-W01,12.0,12.0,0.0,59.88
STR_E02,4900005010,2024-01-01,2024-W01,12.0,12.0,0.0,23.88
STR_W01,1200080994,2024-01-01,2024-W01,14.0,14.0,0.0,111.86
STR_W01,2840016014,2024-01-01,2024-W01,12.0,12.0,0.0,59.88
STR_W01,4900005010,2024-01-01,2024-W01,16.0,16.0,0.0,31.84
STR_E01,1200080994,2024-01-02,2024-W01,18.0,18.0,0.0,143.82
STR_E01,2840016014,2024-01-02,2024-W01,9.0,9.0,0.0,44.910000000000004
STR_E01,4900005010,2024-01-02,2024-W01,12.0,12.0,0.0,23.88
STR_E02,1200080994,2024-01-02,2024-W01,14.0,14.0,0.0,111.86
STR_E02,2840016014,2024-01-02,2024-W01,9.0,9.0,0.0,44.910000000000004
STR_E02,4900005010,2024-01-02,2024-W01,12.0,12.0,0.0,23.88
STR_W01,1200080994,2024-01-02,2024-W01,15.0,15.0,0.0,119.85000000000001
STR_W01,2840016014,2024-01-02,2024-W01,11.0,11.0,0.0,54.89
STR_W01,4900005010,2024-01-02,2024-W01,14.0,14.0,0.0,27.86
STR_E01,1200080994,2024-01-03,2024-W01,21.0,21.0,0.0,167.79
STR_E01,2840016014,2024-01-03,2024-W01,10.0,10.0,0.0,49.900000000000006
STR_E01,4900005010,2024-01-03,2024-W01,12.0,12.0,0.0,23.88
STR_E02,1200080994,2024-01-03,2024-W01,16.0,16.0,0.0,127.84
STR_E02,2840016014,2024-01-03,2024-W01,8.0,8.0,0.0,39.92
STR_E02,4900005010,2024-01-03,2024-W01,14.0,14.0,0.0,27.86
STR_W01,1200080994,2024-01-03,2024-W01,16.0,16.0,0.0,127.84
STR_W01,2840016014,2024-01-03,2024-W01,12.0,12.0,0.0,59.88
STR_W01,4900005010,2024-01-03,2024-W01,15.0,15.0,0.0,29.85
STR_E01,1200080994,2024-01-04,2024-W01,16.0,16.0,0.0,127.84
STR_E01,2840016014,2024-01-04,2024-W01,8.0,8.0,0.0,39.92
STR_E01,4900005010,2024-01-04,2024-W01,13.0,13.0,0.0,25.87
STR_E02,1200080994,2024-01-04,2024-W01,14.0,14.0,0.0,111.86
STR_E02,2840016014,2024-01-04,2024-W01,12.0,12.0,0.0,59.88
STR_E02,4900005010,2024-01-04,2024-W01,15.0,15.0,0.0,29.85
STR_W01,1200080994,2024-01-04,2024-W01,18.0,18.0,0.0,143.82
STR_W01,2840016014,2024-01-04,2024-W01,11.0,11.0,0.0,54.89
STR_W01,4900005010,2024-01-04,2024-W01,13.0,13.0,0.0,25.87
STR_E01,1200080994,2024-01-05,2024-W01,16.0,16.0,0.0,127.84
STR_E01,2840016014,2024-01-05,2024-W01,10.0,10.0,0.0,49.900000000000006
STR_E01,4900005010,2024-01-05,2024-W01,12.0,12.0,0.0,23.88
STR_E02,1200080994,2024-01-05,2024-W01,16.0,16.0,0.0,127.84
STR_E02,2840016014,2024-01-05,2024-W01,9.0,9.0,0.0,44.910000000000004
STR_E02,4900005010,2024-01-05,2024-W01,15.0,15.0,0.0,29.85
STR_W01,1200080994,2024-01-05,2024-W01,17.0,17.0,0.0,135.83
STR_W01,2840016014,2024-01-05,2024-W01,7.0,7.0,0.0,34.93
STR_W01,4900005010,2024-01-05,2024-W01,10.0,10.0,0.0,19.9
STR_E01,1200080994,2024-01-06,2024-W01,15.0,15.0,0.0,119.85000000000001
STR_E01,2840016014,2024-01-06,2024-W01,10.0,10.0,0.0,49.900000000000006
STR_E01,4900005010,2024-01-06,2024-W01,16.0,16.0,0.0,31.84
STR_E02,1200080994,2024-01-06,2024-W01,13.0,13.0,0.0,103.87
STR_E02,2840016014,2024-01-06,2024-W01,8.0,8.0,0.0,39.92
STR_E02,4900005010,2024-01-06,2024-W01,15.0,15.0,0.0,29.85
STR_W01,1200080994,2024-01-06,2024-W01,17.0,17.0,0.0,135.83
STR_W01,2840016014,2024-01-06,2024-W01,10.0,10.0,0.0,49.900000000000006
STR_W01,4900005010,2024-01-06,2024-W01,12.0,12.0,0.0,23.88
STR_E01,1200080994,2024-01-07,2024-W01,16.0,16.0,0.0,127.84
STR_E01,2840016014,2024-01-07,2024-W01,11.0,11.0,0.0,54.89
STR_E01,4900005010,2024-01-07,2024-W01,13.0,13.0,0.0,25.87
STR_E02,1200080994,2024-01-07,2024-W01,17.0,17.0,0.0,135.83
STR_E02,2840016014,2024-01-07,2024-W01,14.0,14.0,0.0,69.86
STR_E02,4900005010,2024-01-07,2024-W01,15.0,15.0,0.0,29.85
STR_W01,1200080994,2024-01-07,2024-W01,18.0,18.0,0.0,143.82
STR_W01,2840016014,2024-01-07,2024-W01,11.0,11.0,0.0,54.89
STR_W01,4900005010,2024-01-07,2024-W01,12.0,12.0,0.0,23.88
STR_E01,1200080994,2024-01-08,2024-W02,19.0,19.0,0.0,151.81
STR_E01,2840016014,2024-01-08,2024-W02,10.0,10.0,0.0,49.900000000000006
STR_E01,4900005010,2024-01-08,2024-W02,9.0,9.0,0.0,17.91
STR_E02,1200080994,2024-01-08,2024-W02,22.0,22.0,0.0,175.78
STR_E02,2840016014,2024-01-08,2024-W02,13.0,13.0,0.0,64.87
STR_E02,4900005010,2024-01-08,2024-W02,12.0,12.0,0.0,23.88
